regulator	replicate	fastq_1	fastq_2
PDC2xstandard	A	fastq/SRX20967168_SRR25220328_1.fastq.gz	fastq/SRX20967168_SRR25220328_2.fastq.gz
PDC2xstandard	B	fastq/SRX20967169_SRR25220327_1.fastq.gz	fastq/SRX20967169_SRR25220327_2.fastq.gz
PDC2xstandard	C	fastq/SRX20967170_SRR25220326_1.fastq.gz	fastq/SRX20967170_SRR25220326_2.fastq.gz
INO2xstandard	A	fastq/SRX20966971_SRR25220525_1.fastq.gz	fastq/SRX20966971_SRR25220525_2.fastq.gz
INO2xstandard	B	fastq/SRX20966972_SRR25220524_1.fastq.gz	fastq/SRX20966972_SRR25220524_2.fastq.gz
INO2xstandard	C	fastq/SRX20966973_SRR25220523_1.fastq.gz	fastq/SRX20966973_SRR25220523_2.fastq.gz
SWI5xstandard	A	fastq/SRX20967351_SRR25220761_1.fastq.gz	fastq/SRX20967351_SRR25220761_2.fastq.gz
SWI5xstandard	B	fastq/SRX20967352_SRR25220760_1.fastq.gz	fastq/SRX20967352_SRR25220760_2.fastq.gz
SWI5xstandard	C	fastq/SRX20967353_SRR25220759_1.fastq.gz	fastq/SRX20967353_SRR25220759_2.fastq.gz
UME6xstandard	A	fastq/SRX20967088_SRR25220408_1.fastq.gz	fastq/SRX20967088_SRR25220408_2.fastq.gz
UME6xstandard	B	fastq/SRX20967089_SRR25220407_1.fastq.gz	fastq/SRX20967089_SRR25220407_2.fastq.gz
UME6xstandard	C	fastq/SRX20967090_SRR25220406_1.fastq.gz	fastq/SRX20967090_SRR25220406_2.fastq.gz
UPC2xstandard	A	fastq/SRX20967091_SRR25220405_1.fastq.gz	fastq/SRX20967091_SRR25220405_2.fastq.gz
UPC2xstandard	B	fastq/SRX20967092_SRR25220404_1.fastq.gz	fastq/SRX20967092_SRR25220404_2.fastq.gz
UPC2xstandard	C	fastq/SRX20967093_SRR25220403_1.fastq.gz	fastq/SRX20967093_SRR25220403_2.fastq.gz
